Scholar ,Raw Score (out of 79),Percentage
1,8,10.13
2,10,12.66
3,11,13.92
4,13,16.46
5,14,17.72
6,14,17.72
7,15,18.99
8,17,21.52
9,22,27.85
10,22,27.85
11,23,29.11
12,24,30.38
13,24,30.38
14,24,30.38
15,25,31.65
16,28,35.44
17,29,36.71
18,30,37.97
19,30,37.97
20,30,37.97
21,30,37.97
22,30,37.97
23,30,37.97
24,32,40.51
25,33,41.77
26,33,41.77
27,33,41.77
28,34,43.04
29,34,43.04
30,37,46.84
31,37,46.84
32,37,46.84
33,37,46.84
34,40,50.63
35,41,51.9
36,41,51.9
37,42,53.16
38,43,54.43
39,43,54.43
40,43,54.43
41,44,55.7
42,44,55.7
43,45,56.96
44,45,56.96
45,46,58.23
46,46,58.23
47,46,58.23
48,47,59.49
49,47,59.49
50,48,60.76
51,48,60.76
52,49,62.03
53,49,62.03
54,49,62.03
55,50,63.29
56,51,64.56
57,51,64.56
58,52,65.82
59,52,65.82
60,52,65.82
61,52,65.82
62,52,65.82
63,53,67.09
64,53,67.09
65,53,67.09
66,54,68.35
67,54,68.35
68,55,69.62
69,55,69.62
70,55,69.62
71,56,70.89
72,56,70.89
73,56,70.89
74,56,70.89
75,56,70.89
76,56,70.89
77,58,73.42
78,58,73.42
79,58,73.42
80,58,73.42
81,58,73.42
82,58,73.42
83,59,74.68
84,59,74.68
85,59,74.68
86,59,74.68
87,60,75.95
88,60,75.95
89,61,77.22
90,62,78.48
91,62,78.48
92,62,78.48
93,62,78.48
94,63,79.75
95,63,79.75
96,63,79.75
97,63,79.75
98,63,79.75
99,63,79.75
100,64,81.01
101,65,82.28
102,65,82.28
103,65,82.28
104,65,82.28
105,65,82.28
106,65,82.28
107,66,83.54
108,66,83.54
109,66,83.54
110,66,83.54
111,67,84.81
112,67,84.81
113,67,84.81
114,67,84.81
115,67,84.81
116,67,84.81
117,67,84.81
118,68,86.08
119,69,87.34
120,69,87.34
121,69,87.34
122,70,88.61
123,70,88.61
124,70,88.61
125,71,89.87
126,71,89.87
127,72,91.14
128,73,92.41
129,73,92.41
130,75,94.94
131,76,96.2
