Scholar ,Raw Score (out of 79),Percentage
1,16,20.25
2,17,21.52
3,19,24.05
4,19,24.05
5,20,25.32
6,22,27.85
7,23,29.11
8,25,31.65
9,30,37.97
10,31,39.24
11,32,40.51
12,32,40.51
13,33,41.77
14,34,43.04
15,35,44.3
16,35,44.3
17,35,44.3
18,36,45.57
19,37,46.84
20,38,48.1
21,38,48.1
22,40,50.63
23,40,50.63
24,41,51.9
25,41,51.9
26,41,51.9
27,41,51.9
28,42,53.16
29,43,54.43
30,46,58.23
31,46,58.23
32,47,59.49
33,47,59.49
34,49,62.03
35,49,62.03
36,49,62.03
37,51,64.56
38,51,64.56
39,51,64.56
40,51,64.56
41,52,65.82
42,52,65.82
43,52,65.82
44,53,67.09
45,53,67.09
46,53,67.09
47,53,67.09
48,54,68.35
49,54,68.35
50,54,68.35
51,56,70.89
52,56,70.89
53,57,72.15
54,58,73.42
55,58,73.42
56,59,74.68
57,59,74.68
58,59,74.68
59,59,74.68
60,59,74.68
61,59,74.68
62,60,75.95
63,60,75.95
64,61,77.22
65,61,77.22
66,61,77.22
67,62,78.48
68,62,78.48
69,62,78.48
70,63,79.75
71,63,79.75
72,63,79.75
73,63,79.75
74,64,81.01
75,64,81.01
76,64,81.01
77,65,82.28
78,65,82.28
79,65,82.28
80,65,82.28
81,65,82.28
82,65,82.28
83,66,83.54
84,66,83.54
85,66,83.54
86,66,83.54
87,67,84.81
88,67,84.81
89,67,84.81
90,67,84.81
91,67,84.81
92,68,86.08
93,69,87.34
94,69,87.34
95,70,88.61
96,70,88.61
97,71,89.87
98,71,89.87
99,71,89.87
100,72,91.14
101,73,92.41
102,74,93.67
