Scholar ,Raw Score (out of 79),Percentage
1,9,11.39
2,10,12.66
3,20,25.32
4,25,31.65
5,28,35.44
6,28,35.44
7,29,36.71
8,29,36.71
9,30,37.97
10,31,39.24
11,32,40.51
12,34,43.04
13,35,44.3
14,36,45.57
15,37,46.84
16,37,46.84
17,39,49.37
18,39,49.37
19,41,51.9
20,42,53.16
21,42,53.16
22,41,56.16
23,46,58.23
24,47,59.49
25,49,62.03
26,51,64.56
27,55,69.62
28,55,69.62
29,51,69.86
30,52,71.23
31,58,73.42
32,59,74.68
33,62,78.48
34,63,79.75
35,63,79.75
36,64,81.01
37,64,81.01
38,66,83.54
39,66,83.54
40,67,84.81
41,68,86.08
42,63,86.3
43,69,87.34
44,72,91.14
45,72,91.14
46,73,92.41
47,77,97.47
