Scholar ,Raw Score (out of 79),Percentage
1,10,12.66
2,15,18.99
3,19,24.05
4,21,26.58
5,22,27.85
6,22,27.85
7,22,27.85
8,23,29.11
9,24,30.38
10,26,32.91
11,28,35.44
12,29,36.71
13,30,37.97
14,31,39.24
15,32,40.51
16,32,40.51
17,32,40.51
18,32,40.51
19,33,41.77
20,33,41.77
21,33,41.77
22,34,43.04
23,35,44.3
24,35,44.3
25,35,44.3
26,35,44.3
27,36,45.57
28,37,46.84
29,37,46.84
30,38,48.1
31,38,48.1
32,39,49.37
33,41,51.9
34,43,54.43
35,44,55.7
36,45,56.96
37,47,59.49
38,47,59.49
39,48,60.76
40,49,62.03
41,49,62.03
42,49,62.03
43,50,63.29
44,50,63.29
45,50,63.29
46,50,63.29
47,52,65.82
48,52,65.82
49,52,65.82
50,52,65.82
51,52,65.82
52,52,65.82
53,53,67.09
54,53,67.09
55,54,68.35
56,56,70.89
57,57,72.15
58,57,72.15
59,57,72.15
60,58,73.42
61,58,73.42
62,58,73.42
63,58,73.42
64,59,74.68
65,59,74.68
66,60,75.95
67,60,75.95
68,61,77.22
69,61,77.22
70,61,77.22
71,62,78.48
72,63,79.75
73,63,79.75
74,63,79.75
75,63,79.75
76,63,79.75
77,64,81.01
78,64,81.01
79,64,81.01
80,65,82.28
81,71,89.87
82,71,89.87
83,72,91.14
